frame,timestamp_seconds,track_id,replay_fighter_label,replay_score,replay_reject_reason,id_reset_side_score,id_red_wrist_score,id_blue_glove_score,id_blue_torso_score,id_pose_reference_score,reference_match_score,id_exclude_reference_score,strike_candidate_type,strike_confirmed,estimated_action
69,2.267,2,fighter-2,0.6932,blue_torso;red_gloves,0.0,0.088,0.0972,0.204,0.8676,0.9197,0.6831,,False,
69,2.267,1,fighter-1,0.7963,blue_torso;red_gloves,1.0,0.0987,0.0243,0.3325,0.8511,0.8987,0.7934,punch,False,
70,2.301,3,fighter-3,0.4673,not_competition_fighter;red_gloves;exclude_reference,0.0,0.342,0.0,0.0087,0.7681,0.471,0.9478,,False,
70,2.301,2,fighter-2,0.7017,blue_torso;red_gloves,0.0,0.0802,0.0772,0.2066,0.891,0.9195,0.6827,,False,
70,2.301,1,fighter-1,0.7948,blue_torso;red_gloves,1.0,0.1218,0.0208,0.3372,0.849,0.8935,0.8093,punch,False,
71,2.334,3,fighter-3,0.4702,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3532,0.0,0.0088,0.7791,0.4656,0.9415,,False,
71,2.334,2,fighter-2,0.7022,blue_torso;red_gloves,0.0,0.0988,0.0756,0.2101,0.8951,0.9146,0.6803,,False,
71,2.334,1,fighter-1,0.7934,blue_torso,1.0,0.0,0.0,0.3246,0.8505,0.8945,0.8051,,False,
72,2.368,3,fighter-3,0.4289,not_competition_fighter;red_gloves;exclude_reference;face_mismatch,0.0,0.3513,0.0,0.0086,0.7869,0.4663,0.9406,,False,
72,2.368,2,fighter-2,0.7039,blue_torso;red_gloves,0.0,0.0988,0.0756,0.1956,0.8973,0.9204,0.6941,,False,
72,2.368,1,fighter-1,0.7938,blue_torso;red_gloves,1.0,0.1369,0.0347,0.3211,0.8524,0.8837,0.8141,,False,
73,2.401,3,fighter-3,0.4681,not_competition_fighter;red_gloves;exclude_reference,0.0,0.334,0.0,0.004,0.7708,0.4668,0.9348,,False,
73,2.401,2,fighter-2,0.7029,blue_torso,0.0,0.0527,0.0527,0.1806,0.8986,0.9182,0.6934,,False,
73,2.401,1,fighter-1,0.7950,blue_torso;red_gloves,1.0,0.1397,0.0069,0.2996,0.8562,0.8869,0.8145,,False,
74,2.434,3,fighter-3,0.4722,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3498,0.0,0.0076,0.7789,0.4665,0.932,,False,
74,2.434,2,Ben,0.7119,,0.0,0.0741,0.0195,0.1763,0.911,0.9304,0.6921,,False,
74,2.434,1,fighter-1,0.8058,blue_torso;red_gloves,1.0,0.1558,0.0104,0.2581,0.8651,0.9187,0.8107,,False,
